区间,segment,来源run_id,绝对里程(km),区间里程(km),区间时间(s),速度(km/h),历史真实区间累计能耗(kWh),Simu物理机械区间累计能耗(kWh),历史真实累计能耗(kWh),Simu物理机械累计能耗(kWh)
布政-张家潭,66,3654,0.0,0.0,0.0,0.0,0.0008958333333333333,0.0,0.0008958333333333333,0.0
布政-张家潭,66,3654,0.0,0.0,0.05,0.0,0.0017916666666666667,0.0,0.0017916666666666667,0.0
布政-张家潭,66,3654,0.0,0.0,0.1,0.0,0.0026875,0.0,0.0026875,0.0
布政-张家潭,66,3654,0.0,0.0,0.15,0.0,0.0035833333333333333,0.0,0.0035833333333333333,0.0
布政-张家潭,66,3654,0.0,0.0,0.2,0.0,0.004479166666666667,0.0,0.004479166666666667,0.0
布政-张家潭,66,3654,0.0,0.0,0.25,0.0,0.004479166666666667,0.0,0.004479166666666667,0.0
布政-张家潭,66,3654,0.0,0.0,0.3,0.0,0.004479166666666667,0.0,0.004479166666666667,0.0
布政-张家潭,66,3654,0.0,0.0,0.35,0.0,0.004479166666666667,0.0,0.004479166666666667,0.0
布政-张家潭,66,3654,0.0,0.0,0.4,0.0,0.004479166666666667,0.0,0.004479166666666667,0.0
布政-张家潭,66,3654,0.0,0.0,0.45,0.0,0.004479166666666667,0.0,0.004479166666666667,0.0
布政-张家潭,66,3654,0.0,0.0,0.5,0.0,0.004479166666666667,0.0,0.004479166666666667,0.0
布政-张家潭,66,3654,0.0,0.0,0.55,0.0,0.004479166666666667,0.0,0.004479166666666667,0.0
布政-张家潭,66,3654,0.0,0.0,0.6,0.0,0.004479166666666667,0.0,0.004479166666666667,0.0
布政-张家潭,66,3654,0.0,0.0,0.65,0.0,0.004479166666666667,0.0,0.004479166666666667,0.0
布政-张家潭,66,3654,0.0,0.0,0.7,0.0,0.004479166666666667,0.0,0.004479166666666667,0.0
布政-张家潭,66,3654,0.0,0.0,0.75,0.0,0.004479166666666667,0.0,0.004479166666666667,0.0
布政-张家潭,66,3654,0.0,0.0,0.8,0.0,0.004945141944444445,0.0,0.004945141944444445,0.0
布政-张家潭,66,3654,0.0,0.0,0.85,0.0,0.005411117222222222,0.0,0.005411117222222222,0.0
布政-张家潭,66,3654,0.0,0.0,0.9,0.0,0.005877092500000001,0.0,0.005877092500000001,0.0
布政-张家潭,66,3654,0.0,0.0,0.95,0.0,0.006343067777777779,0.0,0.006343067777777779,0.0
布政-张家潭,66,3654,0.0,0.0,1.0,0.0,0.006972134402777779,0.0,0.006972134402777779,0.0
布政-张家潭,66,3654,0.0,0.0,1.05,0.0,0.00736821338888889,0.0,0.00736821338888889,0.0
布政-张家潭,66,3654,0.0,0.0,1.1,0.0,0.007764292375000001,0.0,0.007764292375000001,0.0
布政-张家潭,66,3654,0.0,0.0,1.15,0.0,0.008160371361111113,0.0,0.008160371361111113,0.0
布政-张家潭,66,3654,0.0,0.0,1.2,0.0,0.008556450347222223,0.0,0.008556450347222223,0.0
布政-张家潭,66,3654,0.0,0.0,1.25,0.0,0.008835867680555557,0.0,0.008835867680555557,0.0
布政-张家潭,66,3654,0.0,0.0,1.3,0.0,0.009371417569444446,0.0,0.009371417569444446,0.0
布政-张家潭,66,3654,0.0,0.0,1.35,0.0,0.009906967458333336,0.0,0.009906967458333336,0.0
布政-张家潭,66,3654,0.0,0.0,1.4,0.0,0.010442517347222225,0.0,0.010442517347222225,0.0
布政-张家潭,66,3654,0.0,0.0,1.45,0.0,0.010978067236111114,0.0,0.010978067236111114,0.0
布政-张家潭,66,3654,0.0,0.0,1.5,0.0,0.011513617125000004,0.0,0.011513617125000004,0.0
布政-张家潭,66,3654,0.0,0.0,1.55,0.0,0.011909458347222224,0.0,0.011909458347222224,0.0
布政-张家潭,66,3654,0.0,0.0,1.6,0.0,0.012305299569444447,0.0,0.012305299569444447,0.0
布政-张家潭,66,3654,0.0,0.0,1.65,0.0,0.01270114079166667,0.0,0.01270114079166667,0.0
布政-张家潭,66,3654,0.0,0.0,1.7,0.0,0.01309698201388889,0.0,0.01309698201388889,0.0
布政-张家潭,66,3654,0.0,0.0,1.75,0.0,0.013492470131944446,0.0,0.013492470131944446,0.0
布政-张家潭,66,3654,0.0,0.0,1.8,0.0,0.01372511020138889,0.0,0.01372511020138889,0.0
布政-张家潭,66,3654,0.0,0.0,1.85,0.0,0.013957750270833335,0.0,0.013957750270833335,0.0
布政-张家潭,66,3654,0.0,0.0,1.9,0.0,0.01419039034027778,0.0,0.01419039034027778,0.0
布政-张家潭,66,3654,0.0,0.0,1.95,0.0,0.014423030409722225,0.0,0.014423030409722225,0.0
布政-张家潭,66,3654,0.0,0.0,2.0,0.0,0.014655670479166669,0.0,0.014655670479166669,0.0
布政-张家潭,66,3654,0.0,0.0,2.05,0.0,0.014958102569444447,0.0,0.014958102569444447,0.0
布政-张家潭,66,3654,0.0,0.0,2.1,0.0,0.015144214625000003,0.0,0.015144214625000003,0.0
布政-张家潭,66,3654,0.0,0.0,2.15,0.0,0.01533032668055556,0.0,0.01533032668055556,0.0
布政-张家潭,66,3654,0.0,0.0,2.2,0.0,0.015516438736111115,0.0,0.015516438736111115,0.0
布政-张家潭,66,3654,0.0,0.0,2.25,0.0,0.01570243884722223,0.0,0.01570243884722223,0.0
布政-张家潭,66,3654,0.0,0.0,2.3,0.0,0.01581868891666667,0.0,0.01581868891666667,0.0
布政-张家潭,66,3654,0.0,0.0,2.35,0.0,0.016609189388888893,0.0,0.016609189388888893,0.0
布政-张家潭,66,3654,0.0,0.0,2.4,0.0,0.017399689861111116,0.0,0.017399689861111116,0.0
布政-张家潭,66,3654,0.0,0.0,2.45,0.0,0.018190190333333342,0.0,0.018190190333333342,0.0
布政-张家潭,66,3654,1.9444444444444452e-06,1.9444444444444452e-06,2.5,0.14,0.018980690805555565,1.2516888611160026e-05,0.018980690805555565,1.2516888611160026e-05
布政-张家潭,66,3654,1.083333333333333e-05,1.083333333333333e-05,2.55,0.6400000000000001,0.019771191277777787,0.00010527957700494326,0.019771191277777787,0.00010527957700494326
布政-张家潭,66,3654,2.069444444444445e-05,2.069444444444445e-05,2.6,0.7099999999999999,0.020608191777777788,0.00026474873543321485,0.020608191777777788,0.00026474873543321485
