section,run_class,sample_count,duration_median_s,duration_mean_s,energy_median_wh,energy_mean_wh,mass_median_t,mass_mean_t,energy_per_t_median_wh_per_t,energy_per_t_mean_wh_per_t,energy_per_second_median
三官堂-兴庄路,class2,46,98.35,98.52065217391302,11633.027714597218,11671.915169888442,216.29000000000002,217.36826086956523,53.4264234278495,53.69819110359948,118.31969883810325
三官堂-兴庄路,class3,58,103.9,103.72500000000001,10664.297547708327,10663.21534933453,215.73999999999995,215.86827586206894,49.386086062369635,49.39674416151624,103.12323956229352
三官堂-盎孟港,class2,104,133.85,133.7923076923077,18617.616497319454,18592.195899986567,216.19,217.0206730769231,85.74153295460624,85.6709737159394,138.99018730544392
三官堂-盎孟港,class3,1,136.05,136.05,18941.375545743063,18941.375545743063,217.44000000000003,217.44000000000003,87.11081468792798,87.11081468792798,139.22363502934996
下应路-南高教园区,class3,34,115.92500000000001,115.66617647058823,12850.096442760409,12922.26445488378,218.18,220.37088235294115,58.26823029043382,58.62665716803567,110.57735166927864
下应路-南高教园区,class4,63,121.95,121.66666666666666,11004.759036666688,11041.350410306546,215.94000000000005,216.408253968254,51.02195677959714,51.01671913475984,90.61987882707865
下应路-南高教园区,class5,4,123.775,123.67500000000001,10548.647165572887,10588.013498281245,216.03999999999996,216.30499999999995,48.906513645141246,48.9502205721447,85.18995375815302
下应路-大洋江,class2,41,101.6,101.8609756097561,14294.681185236077,14312.950587901587,219.32000000000005,222.5921951219512,64.01923145392735,64.31377539772912,140.32732839780428
下应路-大洋江,class3,65,106.2,106.21076923076924,11439.468753152769,11599.271172275532,216.1399999999999,216.2744615384615,52.87599273558472,53.630375140259815,108.0910463774717
下应路-大洋江,class4,1,108.75,108.75,11829.286936361137,11829.286936361137,215.83999999999997,215.83999999999997,54.80581419737369,54.80581419737369,108.77505228837828
会展中心-民安东路,class2,6,77.4,77.29166666666667,12893.151858298603,12815.239372253469,223.0,222.72333333333333,57.81777019230712,57.52456976353036,167.1802762911447
会展中心-民安东路,class3,42,78.35,78.67499999999998,11777.916612916688,10917.717002158894,218.51,221.19452380952382,53.32387435161664,49.295628805057085,150.37866938604589
会展中心-民安东路,class4,56,81.75,81.93303571428571,7101.234266798618,7094.2416795047075,216.63999999999993,216.87642857142853,32.780221925595114,32.71103744344631,86.9459038889723
会展中心-院士路,class3,104,115.3,115.35769230769232,14963.735000833354,15025.56893075568,216.83999999999997,218.94682692307686,68.69331580959748,68.62397758175123,130.20544092645704
兴庄路-三官堂,class1,9,95.9,95.87777777777778,13191.512965659644,13189.774405401993,216.44000000000003,216.86444444444442,60.77754327335019,60.81947491232782,137.48319922521776
兴庄路-三官堂,class2,32,98.5,98.284375,12594.716098291647,12581.855936958109,216.62999999999988,217.25656249999997,57.78276850270235,57.912661568170385,127.49036298384127
兴庄路-三官堂,class3,64,103.75,103.784375,10994.543744607661,11039.448155710179,215.84000000000003,215.91875,50.96577879956929,51.12764628410544,106.32037950256603
兴庄路-兴海南路,class2,30,88.275,88.33333333333334,14611.420103246528,14703.858569780557,215.58999999999997,216.07566666666668,67.78131647613611,68.05052652190435,165.43332820585647
兴庄路-兴海南路,class3,72,91.55,91.48888888888888,11695.443185493055,11815.22767610744,215.54,215.72375,54.215154624322295,54.766555119496246,128.02692305572677
兴海南路-兴庄路,class2,40,88.45,88.3875,13875.630138260434,13985.352064679168,215.94000000000003,216.21749999999997,64.01193556992159,64.6803794059746,156.381202784781
兴海南路-兴庄路,class3,58,90.475,90.73534482758622,11557.727457513894,11884.468731370573,215.73999999999998,215.80724137931034,53.48584219186851,55.0682939969641,127.96240528441368
兴海南路-兴庄路,class4,7,93.95,94.0,9185.936644694455,9140.4805469256,215.6399999999999,215.6685714285714,42.638027500438426,42.38264645293551,97.77473810212298
兴海南路-梅堰,class3,73,81.65,81.6780821917808,12880.793688319463,12739.156683227167,215.54,215.67794520547946,59.799699071655404,59.064251191136464,157.77542672599455
南高教园区-下应路,class2,44,110.775,110.79772727272729,21128.509915149312,21277.117550353385,218.31,221.81363636363633,96.88371608565791,95.93091801794212,190.86342381291504
南高教园区-下应路,class3,63,114.8,114.81507936507937,18572.751041937434,18574.277990863975,215.94000000000003,216.12253968253967,85.87616987323901,85.94350804826315,161.75725079847467
南高教园区-钱湖南路,class4,42,103.975,104.25714285714287,12989.835436190973,13055.085262338298,218.32000000000005,220.28,58.96900389459231,59.27632466176584,124.82360030127714
南高教园区-钱湖南路,class5,62,109.57499999999999,109.66935483870971,11248.819442784712,11218.330883332099,216.03,216.21580645161296,52.0682483034784,51.88415740410113,102.54525096493668
同德路-张家潭,class3,13,154.35,154.37692307692308,15828.26876679857,15943.856383283663,215.44000000000003,215.58615384615385,73.52976175390144,73.95748352119243,102.78096601817253
同德路-张家潭,class4,31,155.6,156.36612903225807,15806.021872854148,15816.933925952942,215.44000000000003,215.54645161290318,73.43440751186651,73.37982816613021,101.7773462514755
同德路-张家潭,class5,59,164.0,163.99915254237285,14924.348544020864,14836.460518892536,215.34,215.35355932203387,69.27380497596019,68.89329157859149,90.47116836323792
同德路-石碶,class2,39,105.4,105.41538461538461,15446.30997585413,15467.81656891916,215.34000000000003,215.68717948717944,71.40909141981687,71.71366995263313,147.31816858229976
同德路-石碶,class3,60,110.275,110.09500000000001,13233.018191843734,13228.251507002778,215.24,215.29333333333335,61.45159265711342,61.44250854001054,120.81209615667129
同德路-石碶,class4,9,111.7,111.78333333333335,13247.850588187539,13363.118041179023,215.24,215.29555555555555,61.54920362473303,62.06889707352155,118.60206435261897
大洋江-下应路,class2,18,102.725,102.53333333333333,12302.72797023959,12901.616697128085,220.60999999999993,221.41999999999996,55.96454470253085,58.27294032269879,119.69829718955276
大洋江-下应路,class3,61,107.35,106.6139344262295,11855.112097618085,12060.09094586362,216.23999999999998,217.68688524590166,54.701955088084084,55.38050769085774,110.8061486931522
大洋江-下应路,class4,25,109.4,109.39599999999999,11507.379768993029,11499.458471609165,216.13999999999993,216.26479999999995,53.191179481339695,53.17494123031217,104.83913033893775
大洋江-泗港,class2,8,88.2,88.29375,14219.682907996534,14119.748870533858,217.135,217.66125,65.00205027263661,64.86757075239194,161.63262310417628
大洋江-泗港,class3,99,91.8,91.79141414141417,11401.450055791676,11446.841619804434,216.13999999999993,218.6145454545454,52.20743637548318,52.351763073363955,124.03851915001798
布政-张家潭,class2,3,113.45,113.43333333333334,16012.072039013874,15991.06297918056,215.24,215.27333333333334,74.3917117590312,74.28269538300333,141.26221472442765
布政-张家潭,class3,80,116.75,116.533125,13812.978642791664,13956.045169378724,215.24,215.25,64.17477533354239,64.83641592174251,118.16850711283718
布政-张家潭,class4,25,118.7,118.78200000000001,14086.227822104136,13978.631623893047,215.24000000000004,215.24,65.44428462230131,64.94439520485525,118.6288457912578
庙堰-钟公庙,class2,25,94.2,94.02800000000003,15584.711425611105,15711.30965014083,216.73999999999998,219.28959999999998,72.10470725275799,71.64050844702386,165.22563421107833
庙堰-钟公庙,class3,84,96.07499999999999,95.92261904761905,13601.123008079916,13827.224666547458,215.73999999999995,216.42595238095237,62.89384518267852,63.86686480093846,141.03002561358988
庙堰-雅渡,class3,8,134.925,134.125,18314.345537131965,18705.362222248266,216.08000000000004,217.18250000000003,85.02919730159032,86.10348225086476,135.5928863451899
庙堰-雅渡,class4,95,137.35,137.2584210526316,18528.634070909742,18458.33853837199,215.74000000000004,216.63115789473687,85.42532764400652,85.20342061380165,134.8094604070954
