section_index,section,segment,trip_no,run_id,quality_labels,row_count,speed_source,avg_speed_kmh,cruise_avg_speed_kmh,cruise_point_count,cruise_min_speed_ratio,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,xlsx_file,warning
1,布政-张家潭,0,1,07/0170100,0,2351,mps,43.73,64.01,1050,0.92,65.25,65,64.51,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,1,2,07/0170101,0,2271,mps,45.29,73.37,177,0.92,75.59,75.46,72.69,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,2,3,07/0170102,0,2350,mps,43.76,62.8,1042,0.92,64.57,64.37,63.13,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,3,4,07/0170103,0,2352,mps,43.74,63.85,1088,0.92,65.65,65.41,64.27,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,4,5,07/0170104,0,2327,mps,44.2,64,1030,0.92,64.9,64.77,64.36,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,5,6,07/0170105,0,2347,mps,43.82,62.74,1096,0.92,64.77,64.5,63.25,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,6,7,07/0170106,0,2354,mps,43.69,63.94,1087,0.92,65.58,65.33,64.41,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,7,8,07/0170107,1,2327,mps,44.24,64.02,1033,0.92,65.52,65.24,64.51,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,8,9,07/0270208,0,2335,mps,44.04,63.94,1052,0.92,65.57,65.36,64.42,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,9,10,07/0270209,0,2352,mps,43.73,63.89,1094,0.92,64.85,64.76,64.44,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
2,张家潭-同德路,0,1,07/0170100,0,3018,mps,48.17,63.51,1770,0.92,65.64,65.33,64.43,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,1,2,07/0170101,0,2933,mps,49.58,66.19,1641,0.92,67.24,67.17,67.05,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,2,3,07/0170102,0,3036,mps,47.91,62.75,1801,0.92,64.15,63.82,63.69,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,3,4,07/0170103,0,3009,mps,48.36,63.62,1761,0.92,65.49,65.21,64.51,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,4,5,07/0170104,0,3010,mps,48.35,62.78,1802,0.92,64.19,63.91,63.79,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,5,6,07/0170105,0,3014,mps,48.27,62.72,1807,0.92,64.08,63.82,63.69,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,6,7,07/0170106,0,3000,mps,48.52,63.52,1765,0.92,65.53,65.12,64.44,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,7,8,07/0170107,1,3005,mps,48.41,63.52,1720,0.92,65.41,65.08,64.39,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,8,9,07/0270208,0,3025,mps,48.1,62.81,1787,0.92,64.28,63.95,63.8,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
2,张家潭-同德路,9,10,07/0270209,0,3004,mps,48.45,63.55,1764,0.92,65.45,65.17,64.51,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
3,同德路-石碶,0,1,07/0170100,0,2220,mps,43.13,66.75,884,0.92,68.56,68.33,67.36,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx,
3,同德路-石碶,1,2,07/0170101,0,2091,mps,45.81,76.96,605,0.92,77.63,77.58,77.52,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx,
3,同德路-石碶,2,3,07/0170102,0,2242,mps,42.74,65.14,918,0.92,65.95,65.87,65.67,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx,
3,同德路-石碶,3,4,07/0170103,0,2208,mps,43.38,65.23,901,0.92,66.39,66.24,65.86,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx,
3,同德路-石碶,4,5,07/0170104,0,2211,mps,43.33,63.73,943,0.92,64.52,64.49,64.36,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx,
3,同德路-石碶,5,6,07/0170105,0,2106,mps,45.51,73.9,668,0.92,76.66,76.52,74.3,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx,
3,同德路-石碶,6,7,07/0170106,0,2190,mps,43.75,66.43,874,0.92,67.65,67.5,67.01,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx,
3,同德路-石碶,7,8,07/0170107,1,2227,mps,43.01,63.63,958,0.92,64.42,64.36,64.23,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx,
3,同德路-石碶,8,9,07/0270208,0,2121,mps,45.16,74.36,676,0.92,76.98,76.87,74.75,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx,
3,同德路-石碶,9,10,07/0270209,0,2216,mps,43.23,65.26,901,0.92,66.26,66.11,65.71,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx,
4,石碶-雅渡,0,1,07/0170100,0,1576,mps,37.83,71.13,282,0.92,72.47,72.37,72.13,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx,
4,石碶-雅渡,1,2,07/0170101,0,1633,mps,36.49,72.87,167,0.92,74.87,74.76,73.49,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx,
4,石碶-雅渡,2,3,07/0170102,0,1638,mps,36.36,72.61,166,0.92,74.61,74.55,73.2,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx,
4,石碶-雅渡,3,4,07/0170103,0,1676,mps,35.54,68.04,153,0.92,70.18,70.03,67.99,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx,
4,石碶-雅渡,4,5,07/0170104,0,1679,mps,35.5,68.18,162,0.92,70.2,70.06,68.45,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx,
4,石碶-雅渡,5,6,07/0170105,0,1576,mps,37.83,72.16,235,0.92,75.47,75.26,72.88,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx,
4,石碶-雅渡,6,7,07/0170106,0,1679,mps,35.47,67.43,234,0.92,70.28,70.17,68.56,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx,
4,石碶-雅渡,7,8,07/0170107,1,1670,mps,35.67,68.2,159,0.92,70.26,70.19,68.35,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx,
4,石碶-雅渡,8,9,07/0270208,0,1638,mps,36.36,72.87,164,0.92,74.91,74.82,73.49,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx,
4,石碶-雅渡,9,10,07/0270209,0,1674,mps,35.59,67.27,199,0.92,70.12,70.04,68,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx,
5,雅渡-庙堰,0,1,07/0170100,0,2679,mps,49.96,71.36,1288,0.92,72.83,72.61,71.99,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx,
5,雅渡-庙堰,1,2,07/0170101,0,2577,mps,51.98,77.22,1097,0.92,77.88,77.82,77.67,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx,
5,雅渡-庙堰,2,3,07/0170102,0,2629,mps,50.94,73.66,1227,0.92,75.2,75.07,74.3,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx,
5,雅渡-庙堰,3,4,07/0170103,0,2642,mps,50.7,73.74,1193,0.92,75.39,75.2,74.34,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx,
5,雅渡-庙堰,4,5,07/0170104,0,2601,mps,51.5,75.25,1118,0.92,76.82,76.5,75.8,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx,
5,雅渡-庙堰,5,6,07/0170105,0,2674,mps,50.09,71.47,1290,0.92,72.97,72.67,72.04,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx,
5,雅渡-庙堰,6,7,07/0170106,0,2618,mps,51.18,75.18,1128,0.92,76.85,76.6,75.73,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx,
5,雅渡-庙堰,7,8,07/0170107,1,2619,mps,51.16,75.23,1116,0.92,76.91,76.65,75.69,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx,
5,雅渡-庙堰,8,9,07/0270208,0,2581,mps,51.89,77.23,1094,0.92,77.9,77.85,77.67,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx,
5,雅渡-庙堰,9,10,07/0270209,0,2602,mps,51.5,76.61,1097,0.92,77.31,77.27,77.18,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx,
6,庙堰-钟公庙,0,1,07/0170100,0,1930,mps,40.54,66.13,609,0.92,68.3,68.08,66.52,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx,
6,庙堰-钟公庙,1,2,07/0170101,0,1886,mps,41.51,73.81,444,0.92,77.67,77.49,74.97,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx,
6,庙堰-钟公庙,2,3,07/0170102,0,1916,mps,40.86,68.14,565,0.92,70.88,70.73,68.52,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx,
6,庙堰-钟公庙,3,4,07/0170103,0,1910,mps,40.97,68,557,0.92,70.39,70.28,68.55,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx,
6,庙堰-钟公庙,4,5,07/0170104,0,1929,mps,40.6,65.79,605,0.92,69.19,68.8,66.04,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx,
6,庙堰-钟公庙,5,6,07/0170105,0,1891,mps,41.4,74.29,424,0.92,77.61,77.53,74.76,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx,
6,庙堰-钟公庙,6,7,07/0170106,0,1902,mps,41.19,68.19,566,0.92,70.43,70.26,68.61,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx,
6,庙堰-钟公庙,7,8,07/0170107,1,1907,mps,41.08,68.31,564,0.92,71.06,70.89,68.63,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx,
6,庙堰-钟公庙,8,9,07/0270208,0,1879,mps,41.66,74.47,402,0.92,77.66,77.47,74.94,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx,
6,庙堰-钟公庙,9,10,07/0270209,0,1900,mps,41.19,67.97,548,0.92,70.62,70.5,68.51,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx,
7,钟公庙-鄞州区政府,0,1,07/0170100,0,1815,mps,39.08,64.53,556,0.92,67.16,67.01,64.68,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx,
7,钟公庙-鄞州区政府,1,2,07/0170101,0,1780,mps,39.83,76.46,290,0.92,77.79,77.68,77.51,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx,
7,钟公庙-鄞州区政府,2,3,07/0170102,0,1807,mps,39.24,66.71,518,0.92,67.87,67.77,67.19,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx,
7,钟公庙-鄞州区政府,3,4,07/0170103,0,1828,mps,38.78,64.43,532,0.92,67.08,66.84,64.47,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx,
7,钟公庙-鄞州区政府,4,5,07/0170104,0,1802,mps,39.36,66.9,502,0.92,67.97,67.78,67.55,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx,
7,钟公庙-鄞州区政府,5,6,07/0170105,0,1783,mps,39.75,76.43,276,0.92,77.74,77.63,77.48,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx,
7,钟公庙-鄞州区政府,6,7,07/0170106,0,1831,mps,38.71,64.45,524,0.92,66.96,66.85,64.53,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx,
7,钟公庙-鄞州区政府,7,8,07/0170107,1,1807,mps,39.25,66.54,526,0.92,67.34,67.29,67.13,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx,
7,钟公庙-鄞州区政府,8,9,07/0270208,0,1775,mps,39.94,76.41,288,0.92,77.68,77.63,77.5,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx,
7,钟公庙-鄞州区政府,9,10,07/0270209,0,1813,mps,39.11,66.68,513,0.92,67.48,67.4,67.17,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx,
8,鄞州区政府-钱湖南路,0,1,07/0170100,0,2546,mps,51.22,77.19,1056,0.92,77.61,77.58,77.53,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_鄞州区政府-钱湖南路.xlsx,
