趟次,全程区间数,可比区间数,区间覆盖率(%),缺失区间,数据状态,代码历史回放能耗(kWh),真实历史能耗(kWh),代码-真实误差(kWh),代码相对真实误差率(%),绝对误差(kWh),绝对误差率(%)
1,26,26,100.000000,,全区间可比,416.263300,424.855930,-8.592630,-2.022481,8.592630,2.022481
3,26,25,96.153846,梅堰-永茂路,部分区间可比,377.163310,382.724030,-5.560720,-1.452932,5.560720,1.452932
4,26,25,96.153846,梅堰-永茂路,部分区间可比,376.535020,382.085370,-5.550350,-1.452647,5.550350,1.452647
5,26,25,96.153846,梅堰-永茂路,部分区间可比,374.701730,379.323820,-4.622090,-1.218508,4.622090,1.218508
6,26,26,100.000000,,全区间可比,441.505340,446.287860,-4.782520,-1.071622,4.782520,1.071622
8,26,25,96.153846,梅堰-永茂路,部分区间可比,376.827100,382.421260,-5.594160,-1.462827,5.594160,1.462827
10,26,25,96.153846,梅堰-永茂路,部分区间可比,378.450490,384.455440,-6.004950,-1.561937,6.004950,1.561937
12,26,26,100.000000,,全区间可比,403.709000,408.890500,-5.181500,-1.267210,5.181500,1.267210
14,26,0,0.000000,全程26个区间,无历史模型回放数据,,,,,,
15,26,0,0.000000,全程26个区间,无历史模型回放数据,,,,,,
16,26,26,100.000000,,全区间可比,423.687510,438.862240,-15.174730,-3.457743,15.174730,3.457743
19,26,26,100.000000,,全区间可比,391.424550,404.663760,-13.239210,-3.271657,13.239210,3.271657
21,26,26,100.000000,,全区间可比,443.061940,450.713570,-7.651630,-1.697670,7.651630,1.697670
35,26,26,100.000000,,全区间可比,402.192940,413.384450,-11.191510,-2.707289,11.191510,2.707289
40,26,26,100.000000,,全区间可比,407.574090,418.775680,-11.201590,-2.674843,11.201590,2.674843
42,26,26,100.000000,,全区间可比,457.520370,454.405230,3.115140,0.685542,3.115140,0.685542
44,26,26,100.000000,,全区间可比,403.304220,405.776230,-2.472010,-0.609205,2.472010,0.609205
49,26,26,100.000000,,全区间可比,430.688360,435.104200,-4.415840,-1.014893,4.415840,1.014893
50,26,26,100.000000,,全区间可比,441.670550,443.039610,-1.369060,-0.309015,1.369060,0.309015
53,26,26,100.000000,,全区间可比,399.365180,400.294540,-0.929360,-0.232169,0.929360,0.232169
57,26,26,100.000000,,全区间可比,441.374460,441.513990,-0.139530,-0.031603,0.139530,0.031603
60,26,26,100.000000,,全区间可比,369.289130,370.716300,-1.427170,-0.384976,1.427170,0.384976
62,26,26,100.000000,,全区间可比,446.672480,450.456560,-3.784080,-0.840054,3.784080,0.840054
66,26,26,100.000000,,全区间可比,437.956980,447.645240,-9.688260,-2.164272,9.688260,2.164272
67,26,26,100.000000,,全区间可比,445.639030,450.944080,-5.305050,-1.176432,5.305050,1.176432
