区间,segment,来源run_id,绝对里程(km),区间里程(km),区间时间(s),速度(km/h),历史真实区间累计能耗(kWh),Simu物理机械区间累计能耗(kWh),历史真实累计能耗(kWh),Simu物理机械累计能耗(kWh)
布政-张家潭,41,2252,0.0,0.0,0.0,0.0,8.333333333333333e-05,0.0,8.333333333333333e-05,0.0
布政-张家潭,41,2252,0.0,0.0,0.05,0.0,0.00016666666666666666,0.0,0.00016666666666666666,0.0
布政-张家潭,41,2252,0.0,0.0,0.1,0.0,0.00025,0.0,0.00025,0.0
布政-张家潭,41,2252,0.0,0.0,0.15,0.0,0.0003333333333333333,0.0,0.0003333333333333333,0.0
布政-张家潭,41,2252,0.0,0.0,0.2,0.0,0.00041666666666666664,0.0,0.00041666666666666664,0.0
布政-张家潭,41,2252,0.0,0.0,0.25,0.0,0.0012083333333333332,0.0,0.0012083333333333332,0.0
布政-张家潭,41,2252,0.0,0.0,0.3,0.0,0.002145833333333333,0.0,0.002145833333333333,0.0
布政-张家潭,41,2252,0.0,0.0,0.35,0.0,0.003188650833333333,0.0,0.003188650833333333,0.0
布政-张家潭,41,2252,0.0,0.0,0.4,0.0,0.004231468333333333,0.0,0.004231468333333333,0.0
布政-张家潭,41,2252,0.0,0.0,0.45,0.0,0.005274285833333333,0.0,0.005274285833333333,0.0
布政-张家潭,41,2252,0.0,0.0,0.5,0.0,0.005737760277777777,0.0,0.005737760277777777,0.0
布政-张家潭,41,2252,0.0,0.0,0.55,0.0,0.005737760277777777,0.0,0.005737760277777777,0.0
布政-张家潭,41,2252,0.0,0.0,0.6,0.0,0.005737760277777777,0.0,0.005737760277777777,0.0
布政-张家潭,41,2252,0.0,0.0,0.65,0.0,0.005737760277777777,0.0,0.005737760277777777,0.0
布政-张家潭,41,2252,0.0,0.0,0.7,0.0,0.005737760277777777,0.0,0.005737760277777777,0.0
布政-张家潭,41,2252,0.0,0.0,0.75,0.0,0.005737760277777777,0.0,0.005737760277777777,0.0
布政-张家潭,41,2252,0.0,0.0,0.8,0.0,0.005784107722222222,0.0,0.005784107722222222,0.0
布政-张家潭,41,2252,0.0,0.0,0.85,0.0,0.005830385638888889,0.0,0.005830385638888889,0.0
布政-张家潭,41,2252,0.0,0.0,0.9,0.0,0.005876663555555556,0.0,0.005876663555555556,0.0
布政-张家潭,41,2252,0.0,0.0,0.95,0.0,0.005922941472222223,0.0,0.005922941472222223,0.0
布政-张家潭,41,2252,0.0,0.0,1.0,0.0,0.006223747930555556,0.0,0.006223747930555556,0.0
布政-张家潭,41,2252,0.0,0.0,1.05,0.0,0.006570832305555556,0.0,0.006570832305555556,0.0
布政-张家潭,41,2252,0.0,0.0,1.1,0.0,0.006917916680555556,0.0,0.006917916680555556,0.0
布政-张家潭,41,2252,0.0,0.0,1.15,0.0,0.007265001055555556,0.0,0.007265001055555556,0.0
布政-张家潭,41,2252,0.0,0.0,1.2,0.0,0.007612085430555555,0.0,0.007612085430555555,0.0
布政-张家潭,41,2252,0.0,0.0,1.25,0.0,0.007959169805555555,0.0,0.007959169805555555,0.0
布政-张家潭,41,2252,0.0,0.0,1.3,0.0,0.008190559388888888,0.0,0.008190559388888888,0.0
布政-张家潭,41,2252,0.0,0.0,1.35,0.0,0.008421533624999998,0.0,0.008421533624999998,0.0
布政-张家潭,41,2252,0.0,0.0,1.4,0.0,0.00865250786111111,0.0,0.00865250786111111,0.0
布政-张家潭,41,2252,0.0,0.0,1.45,0.0,0.00888348209722222,0.0,0.00888348209722222,0.0
布政-张家潭,41,2252,0.0,0.0,1.5,0.0,0.009114456333333331,0.0,0.009114456333333331,0.0
布政-张家潭,41,2252,0.0,0.0,1.55,0.0,0.00929923572222222,0.0,0.00929923572222222,0.0
布政-张家潭,41,2252,0.0,0.0,1.6,0.0,0.009484015111111108,0.0,0.009484015111111108,0.0
布政-张家潭,41,2252,0.0,0.0,1.65,0.0,0.009668794499999998,0.0,0.009668794499999998,0.0
布政-张家潭,41,2252,0.0,0.0,1.7,0.0,0.009853573888888885,0.0,0.009853573888888885,0.0
布政-张家潭,41,2252,0.0,0.0,1.75,0.0,0.010038353277777773,0.0,0.010038353277777773,0.0
布政-张家潭,41,2252,0.0,0.0,1.8,0.0,0.010200035243055551,0.0,0.010200035243055551,0.0
布政-张家潭,41,2252,0.0,0.0,1.85,0.0,0.010384868909722216,0.0,0.010384868909722216,0.0
布政-张家潭,41,2252,0.0,0.0,1.9,0.0,0.010569702576388883,0.0,0.010569702576388883,0.0
布政-张家潭,41,2252,0.0,0.0,1.95,0.0,0.010754536243055548,0.0,0.010754536243055548,0.0
布政-张家潭,41,2252,0.0,0.0,2.0,0.0,0.010939369909722215,0.0,0.010939369909722215,0.0
布政-张家潭,41,2252,0.0,0.0,2.05,0.0,0.011031786743055548,0.0,0.011031786743055548,0.0
布政-张家潭,41,2252,0.0,0.0,2.1,0.0,0.011031786743055548,0.0,0.011031786743055548,0.0
布政-张家潭,41,2252,0.0,0.0,2.15,0.0,0.011031786743055548,0.0,0.011031786743055548,0.0
布政-张家潭,41,2252,0.0,0.0,2.2,0.0,0.011031786743055548,0.0,0.011031786743055548,0.0
布政-张家潭,41,2252,0.0,0.0,2.25,0.0,0.011031786743055548,0.0,0.011031786743055548,0.0
布政-张家潭,41,2252,0.0,0.0,2.3,0.0,0.011101099368055548,0.0,0.011101099368055548,0.0
布政-张家潭,41,2252,0.0,0.0,2.35,0.0,0.011725095993055549,0.0,0.011725095993055549,0.0
布政-张家潭,41,2252,0.0,0.0,2.4,0.0,0.012349092618055548,0.0,0.012349092618055548,0.0
布政-张家潭,41,2252,0.0,0.0,2.45,0.0,0.012973089243055548,0.0,0.012973089243055548,0.0
布政-张家潭,41,2252,0.0,0.0,2.5,0.0,0.01359708586805555,0.0,0.01359708586805555,0.0
布政-张家潭,41,2252,0.0,0.0,2.55,0.0,0.014290415451388884,0.0,0.014290415451388884,0.0
布政-张家潭,41,2252,0.0,0.0,2.6,0.0,0.014868190104166661,0.0,0.014868190104166661,0.0
布政-张家潭,41,2252,0.0,0.0,2.65,0.0,0.015445964756944439,0.0,0.015445964756944439,0.0
布政-张家潭,41,2252,0.0,0.0,2.7,0.0,0.016023739409722217,0.0,0.016023739409722217,0.0
布政-张家潭,41,2252,0.0,0.0,2.75,0.0,0.016601514062499996,0.0,0.016601514062499996,0.0
布政-张家潭,41,2252,5.972222222222223e-06,5.972222222222223e-06,2.8,0.4299999999999998,0.017179288715277772,3.9930951459265344e-05,0.017179288715277772,3.9930951459265344e-05
布政-张家潭,41,2252,1.472222222222222e-05,1.472222222222222e-05,2.85,0.63,0.017548616937499994,0.00015635961641900594,0.017548616937499994,0.00015635961641900594
布政-张家潭,41,2252,2.347222222222222e-05,2.347222222222222e-05,2.9,0.63,0.017917945159722216,0.00028592921930632373,0.017917945159722216,0.00028592921930632373
布政-张家潭,41,2252,3.402777777777777e-05,3.402777777777777e-05,2.95,0.76,0.018287273381944438,0.0004490380852444449,0.018287273381944438,0.0004490380852444449
布政-张家潭,41,2252,4.611111111111111e-05,4.611111111111111e-05,3.0,0.8700000000000001,0.01865660160416666,0.0006576344259673695,0.01865660160416666,0.0006576344259673695
布政-张家潭,41,2252,5.958333333333334e-05,5.958333333333334e-05,3.05,0.9699999999999998,0.01902592982638888,0.0009086855618199361,0.01902592982638888,0.0009086855618199361
布政-张家潭,41,2252,7.305555555555555e-05,7.305555555555555e-05,3.1,0.9699999999999998,0.019995416409722213,0.001160833229189704,0.019995416409722213,0.001160833229189704
布政-张家潭,41,2252,8.805555555555555e-05,8.805555555555555e-05,3.15,1.08,0.020964902993055545,0.0014443829666693742,0.020964902993055545,0.0014443829666693742
布政-张家潭,41,2252,0.0001045833333333333,0.0001045833333333333,3.2,1.1899999999999997,0.021934389576388876,0.0017796461411712778,0.021934389576388876,0.0017796461411712778
布政-张家潭,41,2252,0.00012347222222222222,0.00012347222222222222,3.25,1.36,0.022903876159722208,0.0021997449716790484,0.022903876159722208,0.0021997449716790484
布政-张家潭,41,2252,0.00014236111111111112,0.00014236111111111112,3.3,1.36,0.02387336274305554,0.002631728943237747,0.02387336274305554,0.002631728943237747
布政-张家潭,41,2252,0.0001626388888888889,0.0001626388888888889,3.35,1.4600000000000002,0.02477740224305554,0.0030919222819033314,0.02477740224305554,0.0030919222819033314
布政-张家潭,41,2252,0.0001843055555555556,0.0001843055555555556,3.4,1.5599999999999998,0.02544963674305554,0.0036038184691254698,0.02544963674305554,0.0036038184691254698
布政-张家潭,41,2252,0.0002076388888888889,0.0002076388888888889,3.45,1.68,0.026121871243055535,0.004180623996610049,0.026121871243055535,0.004180623996610049
布政-张家潭,41,2252,0.00023222222222222218,0.00023222222222222218,3.5,1.7699999999999998,0.026794105743055536,0.004810891264609652,0.026794105743055536,0.004810891264609652
布政-张家潭,41,2252,0.00025680555555555564,0.00025680555555555564,3.55,1.7699999999999998,0.027466340243055533,0.005429989928435775,0.027466340243055533,0.005429989928435775
布政-张家潭,41,2252,0.00028319444444444453,0.00028319444444444453,3.6,1.9000000000000001,0.028115394243055532,0.006094907133900691,0.028115394243055532,0.006094907133900691
布政-张家潭,41,2252,0.0003109722222222223,0.0003109722222222223,3.65,2.0,0.029228058243055532,0.006825602988995383,0.029228058243055532,0.006825602988995383
布政-张家潭,41,2252,0.00034,0.00034,3.7,2.09,0.03034072224305553,0.007606661392570019,0.03034072224305553,0.007606661392570019
布政-张家潭,41,2252,0.0003690277777777778,0.0003690277777777778,3.75,2.09,0.03145338624305553,0.008372293680769437,0.03145338624305553,0.008372293680769437
布政-张家潭,41,2252,0.0003991666666666667,0.0003991666666666667,3.8,2.17,0.032566050243055526,0.009148914693291382,0.032566050243055526,0.009148914693291382
布政-张家潭,41,2252,0.0004301388888888889,0.0004301388888888889,3.85,2.23,0.0337450781597222,0.00994969454845581,0.0337450781597222,0.00994969454845581
布政-张家潭,41,2252,0.0004627777777777778,0.0004627777777777778,3.9,2.35,0.03485475149305553,0.010810555639441936,0.03485475149305553,0.010810555639441936
布政-张家潭,41,2252,0.0004963888888888889,0.0004963888888888889,3.95,2.42,0.03596442482638886,0.01171715776804784,0.03596442482638886,0.01171715776804784
布政-张家潭,41,2252,0.00053,0.00053,4.0,2.42,0.0370740981597222,0.012598402543951477,0.0370740981597222,0.012598402543951477
布政-张家潭,41,2252,0.0005647222222222222,0.0005647222222222222,4.05,2.5,0.03818377149305553,0.013488016056676717,0.03818377149305553,0.013488016056676717
布政-张家潭,41,2252,0.0006011111111111112,0.0006011111111111112,4.1,2.62,0.03920097204861109,0.014447775285865121,0.03920097204861109,0.014447775285865121
布政-张家潭,41,2252,0.00063875,0.00063875,4.15,2.71,0.04021817260416664,0.015471277067399907,0.04021817260416664,0.015471277067399907
布政-张家潭,41,2252,0.0006763888888888889,0.0006763888888888889,4.2,2.71,0.04123537315972219,0.01647413793118901,0.04123537315972219,0.01647413793118901
布政-张家潭,41,2252,0.0007159722222222222,0.0007159722222222222,4.25,2.85,0.04225257371527775,0.017530176792236306,0.04225257371527775,0.017530176792236306
布政-张家潭,41,2252,0.0007566666666666667,0.0007566666666666667,4.3,2.93,0.043269774270833304,0.01865284002255501,0.043269774270833304,0.01865284002255501
布政-张家潭,41,2252,0.000798888888888889,0.000798888888888889,4.35,3.04,0.04428695618749997,0.019839816726589448,0.04428695618749997,0.019839816726589448
布政-张家潭,41,2252,0.0008411111111111113,0.0008411111111111113,4.4,3.04,0.04567402243749997,0.021010537858996706,0.04567402243749997,0.021010537858996706
布政-张家潭,41,2252,0.0008850000000000002,0.0008850000000000002,4.45,3.16,0.047061088687499975,0.02221647382070016,0.047061088687499975,0.02221647382070016
布政-张家潭,41,2252,0.0009302777777777779,0.0009302777777777779,4.5,3.26,0.04844815493749998,0.02349953749926965,0.04844815493749998,0.02349953749926965
布政-张家潭,41,2252,0.0009770833333333335,0.0009770833333333335,4.55,3.37,0.04983522118749998,0.024858599608411247,0.04983522118749998,0.024858599608411247
布政-张家潭,41,2252,0.0010249999999999999,0.0010249999999999999,4.6,3.45,0.051222287437499986,0.026270849645580303,0.051222287437499986,0.026270849645580303
布政-张家潭,41,2252,0.001072916666666667,0.001072916666666667,4.65,3.45,0.053164180187499986,0.02764493869567578,0.053164180187499986,0.02764493869567578
布政-张家潭,41,2252,0.001122083333333333,0.001122083333333333,4.7,3.54,0.055106072937499986,0.029023542008346656,0.055106072937499986,0.029023542008346656
布政-张家潭,41,2252,0.001172777777777778,0.001172777777777778,4.75,3.650000000000001,0.05704796568749999,0.030475780558465962,0.05704796568749999,0.030475780558465962
布政-张家潭,41,2252,0.001224444444444444,0.001224444444444444,4.8,3.719999999999999,0.05898985843749999,0.03197400066526026,0.05898985843749999,0.03197400066526026
布政-张家潭,41,2252,0.001276111111111111,0.001276111111111111,4.85,3.719999999999999,0.06092943652083332,0.03342691595112937,0.06092943652083332,0.03342691595112937
布政-张家潭,41,2252,0.001329305555555556,0.001329305555555556,4.9,3.830000000000001,0.06277665374305554,0.03490237979131967,0.06277665374305554,0.03490237979131967
布政-张家潭,41,2252,0.00138375,0.00138375,4.95,3.9200000000000004,0.06464696118055553,0.03644659193731974,0.06464696118055553,0.03644659193731974
